perturbation,centered_pearson,rmse
AATF,-0.43238594936791,0.15180522780169659
ABL1,-0.31166602577832014,0.08806618337564136
ACTL6A,-0.2399430480529618,0.11528960533937738
ADAR,-0.2804468770035116,0.09088176251163732
ADNP2,-0.26833647331298555,0.08375478390834105
ADNP,-0.26020940954648974,0.1076419913191211
AEBP2,-0.1692316858527444,0.07213210642690729
AFF1,-0.26990935109841896,0.08008299884959313
AFF2,-0.3467990219181163,0.10754056588274333
AFF3,-0.14782073946710586,0.07654284527557247
AFF4,-0.445294368589422,0.13096295210741826
AHRR,-0.30631418165138125,0.0719127023927092
AHR,-0.3422085794018861,0.11070433454369744
AIRE,-0.14668284063191364,0.08522211132908065
AKNA,-0.24248372359129375,0.10045688813073761
ALX1,-0.17604847676432447,0.07514773168553317
ALX3,-0.11544788553599601,0.08810003539039228
ALX4,-0.22883077518330963,0.13195713822264368
ALYREF,-0.2143459494797862,0.10070252164953196
ANHX,-0.24472501600409444,0.07900681355257659
ANKRD30A,-0.2202308750548,0.08673155557824724
AP2B1,-0.4957970459490145,0.1550002768219321
APEX1,-0.191541417149685,0.11354053950541834
ARGFX,-0.32488097735420074,0.1002573351413764
ARHGAP35,-0.30813749320300887,0.09341488648263772
ARID1A,-0.4878894075965102,0.12434479020316838
ARID1B,-0.2104346462745141,0.08257621312263434
ARID2,-0.5266007743528224,0.15972037910681558
ARID3A,-0.34663949537359046,0.08495484996045817
ARID3B,-0.28121337598595386,0.0864674036236706
ARID3C,-0.37960022593140824,0.11969428298044735
ARID4A,-0.5224480336987157,0.1544647429255503
ARID4B,-0.2687467294507737,0.08053724568186725
ARID5A,-0.32454902736118907,0.08482176082071435
ARID5B,-0.47354352286160684,0.11951161641629739
ARNT2,-0.2696934957454921,0.08669646760811803
ARNTL2,-0.35866348037178813,0.08506281570940735
ARNTL,-0.4211136291239799,0.09034911467043873
ARNT,-0.31809243542355636,0.08393982575305839
ARX,-0.38006404345721395,0.08535150263624332
AR,-0.34038597600025733,0.09740997577320135
ASCL1,-0.6056730273444738,0.1676816113825393
ASCL2,-0.296686577688084,0.09164188497820842
ASCL3,-0.2842346971832675,0.10161058191195996
ASCL4,-0.3101937255826541,0.1081019577664379
ASCL5,-0.18704064888757393,0.09110440304839255
ASH1L,-0.20171952632537526,0.0843518886445054
ATF1,-0.2524537601445922,0.07843153314321454
ATF2,-0.15081962373549881,0.09328424664142419
ATF3,-0.3400223180621758,0.09450568273158041
ATF4,-0.09598563662406058,0.08981683724044782
ATF5,-0.3250545674254789,0.08106980641821125
ATF6B,-0.3124941874312699,0.09397793946912415
ATF6,-0.21101675114431992,0.09863375694010129
ATF7,-0.3252082300248451,0.0927837726379831
ATMIN,-0.3019847958099651,0.08434934351002636
ATOH1,-0.27150908682513253,0.08831953707802281
ATOH7,-0.40456835527508095,0.12183538531603397
ATOH8,-0.33886748796097005,0.10213845085984907
BACH1,-0.2719656152369491,0.07734810521765081
BACH2,-0.19963666070139166,0.07904988427533771
